Student_ID,Gender,Age,Branch,CGPA,Attendance,Backlogs,Internships,Projects,Aptitude_Score,Communication_Score,Placed
1,Male,21,CSE,8.7,92,0,2,3,86,88,Yes
2,Female,21,ECE,7.2,78,1,1,2,68,72,No
3,Male,22,EEE,6.8,75,2,0,1,61,65,No
4,Female,21,CSE,8.4,89,0,2,3,82,85,Yes
5,Male,22,MECH,7.5,82,1,1,2,72,70,No
6,Female,21,IT,9.1,95,0,3,4,91,94,Yes
7,Male,22,CIVIL,6.5,70,3,0,1,58,60,No
8,Female,21,CSE,8.0,86,0,1,2,76,80,Yes
9,Male,21,ECE,7.8,84,1,1,2,74,76,Yes
10,Female,22,EEE,6.9,73,2,0,1,63,68,No
11,Male,21,IT,8.8,91,0,2,3,87,82,Yes
12,Female,22,MECH,7.1,79,1,0,2,66,71,No
13,Male,21,CSE,8.5,90,0,2,4,84,86,Yes
14,Female,21,ECE,7.4,81,1,1,2,70,74,No
15,Male,22,EEE,6.7,72,2,0,1,60,62,No
16,Female,21,IT,8.9,93,0,2,3,88,90,Yes
17,Male,22,CIVIL,7.0,76,2,0,2,64,67,No
18,Female,21,CSE,8.2,87,0,1,3,79,83,Yes
19,Male,21,ECE,7.6,83,1,1,2,73,75,Yes
20,Female,22,MECH,6.6,71,3,0,1,57,64,No
21,Male,21,IT,8.6,90,0,2,3,85,87,Yes
22,Female,21,CSE,7.3,80,1,1,2,69,73,No
23,Male,22,ECE,8.1,85,0,1,3,78,81,Yes
24,Female,21,EEE,6.9,74,2,0,1,62,66,No
25,Male,22,CSE,9.0,94,0,3,4,92,89,Yes
26,Female,21,CIVIL,7.2,77,1,0,2,67,70,No
27,Male,21,IT,8.3,88,0,2,3,80,84,Yes
28,Female,22,ECE,7.5,82,1,1,2,71,73,No
29,Male,21,MECH,6.8,76,2,0,1,59,63,No
30,Female,21,CSE,8.7,91,0,2,3,86,90,Yes
31,Male,22,EEE,7.1,79,1,0,2,65,69,No
32,Female,21,IT,8.5,89,0,2,3,83,86,Yes
33,Male,21,CIVIL,6.4,68,3,0,1,55,58,No
34,Female,22,CSE,8.0,85,0,1,2,77,79,Yes
35,Male,21,ECE,7.7,83,1,1,3,75,78,Yes
36,Female,22,MECH,6.7,72,2,0,1,60,65,No
37,Male,21,IT,8.9,94,0,3,4,90,92,Yes
38,Female,21,CSE,7.0,77,2,0,2,64,68,No
39,Male,22,ECE,8.3,88,0,2,3,81,85,Yes
40,Female,21,EEE,7.4,80,1,1,2,70,74,No
41,Male,21,CSE,8.8,92,0,2,4,88,87,Yes
42,Female,22,IT,7.2,79,1,0,2,67,72,No
