Age,Gender,Education,Experience,Department,City,Job_Level,Performance_Score,Years_at_Company,Salary
22,Male,Bachelors,1,IT,Hyderabad,Junior,3,1,320000
25,Female,Masters,3,HR,Bangalore,Junior,4,2,420000
28,Male,Bachelors,5,IT,Hyderabad,Mid,3,4,550000
30,Female,Masters,7,Finance,Chennai,Mid,4,6,680000
35,Male,PhD,10,IT,Bangalore,Senior,5,9,950000
26,Female,Bachelors,3,Marketing,Hyderabad,Junior,3,2,400000
40,Male,Masters,15,Finance,Mumbai,Senior,4,12,1200000
29,Female,Bachelors,6,IT,Chennai,Mid,3,5,600000
32,Male,Masters,8,HR,Bangalore,Mid,4,7,720000
45,Female,PhD,20,Finance,Mumbai,Senior,5,15,1500000
24,Male,Bachelors,2,Marketing,Hyderabad,Junior,2,1,350000
27,Female,Masters,4,IT,Bangalore,Junior,4,3,500000
31,Male,Bachelors,7,IT,Chennai,Mid,3,6,650000
38,Female,Masters,12,HR,Mumbai,Senior,5,10,1050000
42,Male,PhD,18,IT,Bangalore,Senior,4,14,1350000
23,Female,Bachelors,1,Marketing,Hyderabad,Junior,3,1,310000
36,Male,Masters,11,Finance,Chennai,Senior,4,9,1000000
33,Female,Bachelors,8,IT,Bangalore,Mid,3,7,700000
29,Male,Masters,,HR,Hyderabad,Mid,4,5,620000
41,Female,PhD,17,Finance,Mumbai,Senior,5,13,1400000
27,Male,Bachelors,4,IT,Chennai,Junior,3,3,480000
34,Female,Masters,9,Marketing,Bangalore,Mid,4,8,780000
39,Male,PhD,14,IT,Mumbai,Senior,5,11,1100000
25,Female,Bachelors,2,HR,Hyderabad,Junior,3,2,380000
31,Male,Masters,6,Finance,Chennai,Mid,,5,640000
28,Female,Bachelors,5,IT,Bangalore,Mid,4,4,570000
37,Male,Masters,10,Marketing,Mumbai,Senior,4,9,900000
44,Female,PhD,22,Finance,Chennai,Senior,5,18,2000000
30,Male,Bachelors,7,HR,Hyderabad,Mid,3,6,590000
26,Female,Masters,3,IT,Bangalore,Junior,4,2,450000
